,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-16,43.29999923706055,43.66999816894531,42.310001373291016,43.5099983215332,2866500,0.0,0.0,0.0
2024-01-17,42.650001525878906,43.060001373291016,42.29999923706055,42.86000061035156,1250300,0.0,0.0,0.0
2024-01-18,42.79999923706055,42.91999816894531,40.709999084472656,40.95000076293945,2873600,0.0,0.0,0.0
2024-01-19,41.209999084472656,42.27000045776367,40.380001068115234,41.72999954223633,2089800,0.0,0.0,0.0
2024-01-22,40.790000915527344,40.91999816894531,39.45800018310547,40.20500183105469,3238300,0.0,0.0,0.0
2024-01-23,38.90999984741211,39.65999984741211,38.619998931884766,39.220001220703125,2824500,0.0,0.0,0.0
2024-01-24,40.04999923706055,40.2599983215332,39.540000915527344,39.599998474121094,2370400,0.0,0.0,0.0
2024-01-25,40.06999969482422,40.13399887084961,39.56999969482422,39.869998931884766,1243000,0.0,0.0,0.0
2024-01-26,41.2400016784668,42.2599983215332,41.13999938964844,42.02000045776367,2409900,0.0,0.0,0.0
2024-01-29,42.029998779296875,43.35900115966797,41.79999923706055,43.209999084472656,2511000,0.0,0.0,0.0
2024-01-30,43.439998626708984,43.779998779296875,43.25,43.61000061035156,2015900,0.0,0.0,0.0
2024-01-31,42.75,43.790000915527344,42.52000045776367,42.54999923706055,1622100,0.0,0.0,0.0
2024-02-01,42.40999984741211,43.29999923706055,42.380001068115234,43.060001373291016,1761400,0.0,0.0,0.0
2024-02-02,42.7400016784668,43.5,42.709999084472656,42.95000076293945,2138400,0.0,0.0,0.0
2024-02-05,43.369998931884766,43.41999816894531,42.29999923706055,42.380001068115234,1180200,0.0,0.0,0.0
2024-02-06,42.88999938964844,43.40999984741211,42.849998474121094,43.119998931884766,1404700,0.0,0.0,0.0
2024-02-07,43.16999816894531,44.310001373291016,42.90999984741211,44.16999816894531,1979900,0.0,0.0,0.0
2024-02-08,45.130001068115234,45.689998626708984,44.91999816894531,45.599998474121094,2144000,0.0,0.0,0.0
2024-02-09,47.060001373291016,48.27000045776367,46.83000183105469,47.599998474121094,2419300,0.0,0.0,0.0
2024-02-12,48.2599983215332,50.5,48.209999084472656,50.310001373291016,2134700,0.0,0.0,0.0
2024-02-13,49.06999969482422,49.59000015258789,48.41999816894531,49.470001220703125,3147900,0.0,0.0,0.0
2024-02-14,51.77000045776367,52.20000076293945,51.33000183105469,51.81999969482422,3894500,0.0,0.0,0.0
2024-02-15,52.58000183105469,52.95899963378906,51.689998626708984,51.84000015258789,3357500,0.0,0.0,0.0
2024-02-16,52.349998474121094,52.560001373291016,51.709999084472656,51.970001220703125,1884000,0.0,0.0,0.0
2024-02-20,52.439998626708984,52.439998626708984,50.81999969482422,52.08000183105469,2734300,0.0,0.0,0.0
2024-02-21,51.0,51.47999954223633,50.689998626708984,51.02000045776367,3819100,0.0,0.0,0.0
2024-02-22,51.150001525878906,52.150001525878906,51.060001373291016,52.11000061035156,1260500,0.0,0.0,0.0
2024-02-23,51.27000045776367,51.369998931884766,50.65999984741211,51.13999938964844,1352100,0.0,0.0,0.0
2024-02-26,51.459999084472656,55.040000915527344,51.43000030517578,54.529998779296875,5198500,0.0,0.0,0.0
2024-02-27,56.97999954223633,57.75,56.33000183105469,57.13999938964844,3591900,0.0,0.0,0.0
2024-02-28,60.34000015258789,64.41000366210938,59.13999938964844,60.5,7308200,0.0,0.0,0.0
2024-02-29,63.459999084472656,63.7400016784668,60.439998626708984,62.279998779296875,3167100,0.0,0.0,0.0
2024-03-01,62.5099983215332,63.40999984741211,61.25,63.18000030517578,1892700,0.0,0.0,0.0
2024-03-04,65.48999786376953,68.0999984741211,65.44999694824219,67.79000091552734,4169900,0.0,0.0,0.0
2024-03-05,67.81999969482422,69.5199966430664,59.599998474121094,62.040000915527344,8501800,0.0,0.0,0.0
2024-03-06,66.94999694824219,67.69000244140625,65.4000015258789,67.0999984741211,2842400,0.0,0.0,0.0
2024-03-07,67.4800033569336,68.2300033569336,66.77999877929688,67.77999877929688,3522500,0.0,0.0,0.0
2024-03-08,68.25,70.47899627685547,66.25,69.38999938964844,3950500,0.0,0.0,0.0
2024-03-11,72.44999694824219,73.01000213623047,71.45999908447266,72.19999694824219,4907900,0.0,0.0,0.0
2024-03-12,72.37999725341797,73.27999877929688,68.7300033569336,71.4000015258789,7426100,0.0,0.0,0.0
2024-03-13,72.79000091552734,73.62200164794922,71.76000213623047,73.61000061035156,3734700,0.0,0.0,0.0
2024-03-14,72.72000122070312,72.80999755859375,68.41000366210938,69.41999816894531,5872900,0.0,0.0,0.0
2024-03-15,67.8499984741211,70.7300033569336,67.44000244140625,69.1500015258789,3185500,0.0,0.0,0.0
2024-03-18,67.97000122070312,68.57499694824219,66.56999969482422,66.86000061035156,3185400,0.0,0.0,0.0
2024-03-19,63.7400016784668,65.80999755859375,62.25,64.41000366210938,4962500,0.0,0.0,0.0
2024-03-20,63.439998626708984,66.11000061035156,62.08000183105469,65.91999816894531,5531800,0.0,0.0,0.0
2024-03-21,67.69999694824219,67.72000122070312,64.91000366210938,65.22000122070312,3427400,0.0,0.0,0.0
2024-03-22,64.18000030517578,64.33999633789062,62.650001525878906,64.0,2928600,0.0,0.0,0.0
2024-03-25,67.02999877929688,71.23999786376953,67.01000213623047,71.12999725341797,4198700,0.0,0.0,0.0
2024-03-26,70.88999938964844,71.04000091552734,69.37000274658203,69.52999877929688,2508600,0.0,0.0,0.0
2024-03-27,71.69999694824219,71.83999633789062,68.44000244140625,68.69999694824219,2850900,0.0,0.0,0.0
