,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,12.800999641418457,12.840999603271484,12.760000228881836,12.794500350952148,613000,0.0,0.0,0.0
2019-01-03,12.83899974822998,12.916000366210938,12.83899974822998,12.916000366210938,479000,0.0,0.0,0.0
2019-01-04,12.795999526977539,12.822999954223633,12.73900032043457,12.819000244140625,236000,0.0,0.0,0.0
2019-01-07,12.887999534606934,12.887999534606934,12.82800006866455,12.857600212097168,2010000,0.0,0.0,0.0
2019-01-08,12.829999923706055,12.836999893188477,12.79699993133545,12.819000244140625,8840000,0.0,0.0,0.0
2019-01-09,12.819999694824219,12.904000282287598,12.819999694824219,12.902999877929688,669000,0.0,0.0,0.0
2019-01-10,12.866999626159668,12.889599800109863,12.826000213623047,12.826000213623047,178000,0.0,0.0,0.0
2019-01-11,12.850000381469727,12.875,12.840900421142578,12.850700378417969,476000,0.0,0.0,0.0
2019-01-14,12.890999794006348,12.890999794006348,12.86299991607666,12.882800102233887,503000,0.0,0.0,0.0
2019-01-15,12.899999618530273,12.911999702453613,12.847999572753906,12.854999542236328,105000,0.0,0.0,0.0
2019-01-16,12.878000259399414,12.916999816894531,12.876999855041504,12.897000312805176,212000,0.0,0.0,0.0
2019-01-17,12.880000114440918,12.895000457763672,12.866000175476074,12.883000373840332,220000,0.0,0.0,0.0
2019-01-18,12.785499572753906,12.809000015258789,12.77400016784668,12.77400016784668,272000,0.0,0.0,0.0
2019-01-22,12.789999961853027,12.817000389099121,12.764900207519531,12.810999870300293,168000,0.0,0.0,0.0
2019-01-23,12.766799926757812,12.821599960327148,12.766799926757812,12.79640007019043,72000,0.0,0.0,0.0
2019-01-24,12.800999641418457,12.800999641418457,12.763299942016602,12.777999877929688,90000,0.0,0.0,0.0
2019-01-25,12.904999732971191,12.957300186157227,12.904999732971191,12.957300186157227,76000,0.0,0.0,0.0
2019-01-28,12.95300006866455,13.005000114440918,12.95300006866455,13.003700256347656,174000,0.0,0.0,0.0
2019-01-29,13.053999900817871,13.081000328063965,13.029999732971191,13.079999923706055,82000,0.0,0.0,0.0
2019-01-30,13.074999809265137,13.1899995803833,13.05720043182373,13.152000427246094,100000,0.0,0.0,0.0
2019-01-31,13.21399974822998,13.21399974822998,13.160099983215332,13.16189956665039,835000,0.0,0.0,0.0
2019-02-01,13.191900253295898,13.192000389099121,13.125,13.140999794006348,811000,0.0,0.0,0.0
2019-02-04,13.083999633789062,13.117500305175781,13.083000183105469,13.086000442504883,230000,0.0,0.0,0.0
2019-02-05,13.119000434875488,13.119000434875488,13.105999946594238,13.113499641418457,59000,0.0,0.0,0.0
2019-02-06,13.109000205993652,13.109000205993652,13.029999732971191,13.029999732971191,195000,0.0,0.0,0.0
2019-02-07,13.07699966430664,13.079000473022461,13.03909969329834,13.067999839782715,61000,0.0,0.0,0.0
2019-02-08,13.097000122070312,13.119999885559082,13.097000122070312,13.107600212097168,98000,0.0,0.0,0.0
2019-02-11,13.008999824523926,13.062100410461426,13.008999824523926,13.04699993133545,148000,0.0,0.0,0.0
2019-02-12,13.081999778747559,13.081999778747559,13.052000045776367,13.074799537658691,78000,0.0,0.0,0.0
2019-02-13,13.07699966430664,13.136500358581543,13.020000457763672,13.020000457763672,81000,0.0,0.0,0.0
2019-02-14,13.074999809265137,13.10200023651123,13.044599533081055,13.088299751281738,81000,0.0,0.0,0.0
2019-02-15,13.138500213623047,13.185999870300293,13.111000061035156,13.17300033569336,97000,0.0,0.0,0.0
2019-02-19,13.302000045776367,13.376999855041504,13.302000045776367,13.376999855041504,162000,0.0,0.0,0.0
2019-02-20,13.406900405883789,13.423500061035156,13.354000091552734,13.354000091552734,52000,0.0,0.0,0.0
2019-02-21,13.312000274658203,13.313599586486816,13.203399658203125,13.203399658203125,56000,0.0,0.0,0.0
2019-02-22,13.265700340270996,13.288999557495117,13.23799991607666,13.248700141906738,79000,0.0,0.0,0.0
2019-02-25,13.284000396728516,13.284000396728516,13.214699745178223,13.236700057983398,125000,0.0,0.0,0.0
2019-02-26,13.234000205993652,13.2568998336792,13.211999893188477,13.252699851989746,90000,0.0,0.0,0.0
2019-02-27,13.20199966430664,13.206000328063965,13.133000373840332,13.166099548339844,164000,0.0,0.0,0.0
2019-02-28,13.166000366210938,13.166000366210938,13.08899974822998,13.08899974822998,118000,0.0,0.0,0.0
2019-03-01,13.029000282287598,13.074999809265137,12.866999626159668,12.867799758911133,463000,0.0,0.0,0.0
2019-03-04,12.82699966430664,12.84469985961914,12.797300338745117,12.83549976348877,83000,0.0,0.0,0.0
2019-03-05,12.814000129699707,12.845999717712402,12.788000106811523,12.845000267028809,129000,0.0,0.0,0.0
2019-03-06,12.817999839782715,12.839699745178223,12.805399894714355,12.839699745178223,54000,0.0,0.0,0.0
2019-03-07,12.807000160217285,12.843600273132324,12.807000160217285,12.820199966430664,98000,0.0,0.0,0.0
2019-03-08,12.949999809265137,12.965499877929688,12.930999755859375,12.965499877929688,71000,0.0,0.0,0.0
2019-03-11,12.920000076293945,12.925000190734863,12.869999885559082,12.899999618530273,11600,0.0,10.0,0.0
2019-03-12,12.949999809265137,12.993000030517578,12.920000076293945,12.970000267028809,38500,0.0,0.0,0.0
2019-03-13,13.0600004196167,13.092000007629395,13.020000457763672,13.079999923706055,29800,0.0,0.0,0.0
2019-03-14,12.899999618530273,12.949999809265137,12.899999618530273,12.920000076293945,51100,0.0,0.0,0.0
2019-03-15,12.989999771118164,13.039999961853027,12.979999542236328,12.979999542236328,460100,0.0,0.0,0.0
2019-03-18,13.029999732971191,13.0600004196167,12.979999542236328,13.0,181900,0.0,0.0,0.0
2019-03-19,13.0600004196167,13.069999694824219,13.020000457763672,13.029999732971191,234900,0.0,0.0,0.0
2019-03-20,13.0600004196167,13.210000038146973,12.960000038146973,13.100000381469727,521400,0.0,0.0,0.0
2019-03-21,13.149999618530273,13.149999618530273,13.026000022888184,13.0600004196167,56700,0.0,0.0,0.0
2019-03-22,13.079999923706055,13.140000343322754,13.069999694824219,13.079999923706055,75200,0.0,0.0,0.0
2019-03-25,13.149999618530273,13.220000267028809,13.130000114440918,13.1899995803833,79400,0.0,0.0,0.0
2019-03-26,13.149999618530273,13.170000076293945,13.09000015258789,13.149999618530273,55200,0.0,0.0,0.0
2019-03-27,13.15999984741211,13.15999984741211,13.039999961853027,13.050000190734863,64300,0.0,0.0,0.0
2019-03-28,12.930000305175781,12.9399995803833,12.850000381469727,12.880000114440918,120200,0.0,0.0,0.0
2019-03-29,12.960000038146973,12.960000038146973,12.881999969482422,12.890000343322754,103400,0.0,0.0,0.0
2019-04-01,12.920000076293945,12.930000305175781,12.829999923706055,12.829999923706055,95300,0.0,0.0,0.0
2019-04-02,12.850000381469727,12.890000343322754,12.850000381469727,12.87399959564209,79900,0.0,0.0,0.0
2019-04-03,12.859999656677246,12.899999618530273,12.848999977111816,12.850000381469727,92400,0.0,0.0,0.0
2019-04-04,12.800000190734863,12.920000076293945,12.760000228881836,12.899999618530273,46200,0.0,0.0,0.0
2019-04-05,12.869999885559082,12.901000022888184,12.85099983215332,12.880000114440918,59900,0.0,0.0,0.0
2019-04-08,12.989999771118164,13.005000114440918,12.928999900817871,12.954999923706055,50700,0.0,0.0,0.0
2019-04-09,13.029999732971191,13.029999732971191,12.996000289916992,13.010000228881836,46300,0.0,0.0,0.0
2019-04-10,13.020000457763672,13.140000343322754,13.008000373840332,13.050000190734863,58600,0.0,0.0,0.0
2019-04-11,12.970000267028809,12.970000267028809,12.85099983215332,12.869999885559082,73200,0.0,0.0,0.0
2019-04-12,12.869999885559082,12.91100025177002,12.864999771118164,12.869999885559082,28000,0.0,0.0,0.0
2019-04-15,12.789999961853027,12.864999771118164,12.789999961853027,12.829999923706055,69700,0.0,0.0,0.0
2019-04-16,12.729999542236328,12.739999771118164,12.6899995803833,12.729999542236328,136700,0.0,0.0,0.0
2019-04-17,12.720000267028809,12.729999542236328,12.680000305175781,12.710000038146973,46300,0.0,0.0,0.0
2019-04-18,12.680000305175781,12.75,12.680000305175781,12.710000038146973,943600,0.0,0.0,0.0
2019-04-22,12.699999809265137,12.729999542236328,12.6899995803833,12.699999809265137,71000,0.0,0.0,0.0
2019-04-23,12.649999618530273,12.699999809265137,12.600000381469727,12.6899995803833,54700,0.0,0.0,0.0
2019-04-24,12.699999809265137,12.755999565124512,12.680000305175781,12.729999542236328,102000,0.0,0.0,0.0
2019-04-25,12.739999771118164,12.793999671936035,12.720000267028809,12.739999771118164,71100,0.0,0.0,0.0
2019-04-26,12.8100004196167,12.845999717712402,12.789999961853027,12.819999694824219,87500,0.0,0.0,0.0
2019-04-29,12.760000228881836,12.770000457763672,12.739999771118164,12.75,69000,0.0,0.0,0.0
2019-04-30,12.760000228881836,12.819999694824219,12.760000228881836,12.800000190734863,60500,0.0,0.0,0.0
2019-05-01,12.789999961853027,12.84000015258789,12.699999809265137,12.720000267028809,90800,0.0,0.0,0.0
2019-05-02,12.630000114440918,12.6899995803833,12.630000114440918,12.670000076293945,91100,0.0,0.0,0.0
