,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,37.24350128728394,38.10462187360762,37.24350128728394,38.014923095703125,438350,0.0,0.0,0.0
2019-01-03,37.96110510174983,38.12256565355509,37.5664256538866,37.81758499145508,274350,0.0,0.0,0.0
2019-01-04,38.19432599510366,39.139762932742336,38.19432599510366,39.05544662475586,234600,0.0,0.0,0.0
2019-01-07,38.98368502174512,39.45012622017268,38.98368502174512,39.09132766723633,272850,0.0,0.0,0.0
2019-01-08,39.32454665340406,39.468066759293556,39.18102654751456,39.288665771484375,233800,0.0,0.0,0.0
2019-01-09,39.39630556435646,39.64746831963192,39.37836854492683,39.50394821166992,372100,0.0,0.0,0.0
2019-01-10,39.34249176860435,39.88069137418559,39.34249176860435,39.75511169433594,5575100,0.0,0.0,0.0
2019-01-11,39.19897102921837,39.39630905654034,39.19897102921837,39.342491149902344,457200,0.0,0.0,0.0
2019-01-14,38.94780414857995,39.360427446142936,38.94780414857995,39.181026458740234,197800,0.0,0.0,0.0
2019-01-15,39.57570672856589,39.799957112103215,39.52188882646208,39.7192268371582,280550,0.0,0.0,0.0
2019-01-16,39.719227315517,39.916568750379106,39.71025880565479,39.82686996459961,314600,0.0,0.0,0.0
2019-01-17,39.4142501943109,39.89863189333113,39.4142501943109,39.86275100708008,220900,0.0,0.0,0.0
2019-01-18,40.149788541171084,40.38301086425781,40.1139110791334,40.38301086425781,1087450,0.0,0.0,0.0
2019-01-22,39.73716726477859,39.87171886357039,39.44115853794165,39.53982925415039,340450,0.0,0.0,0.0
2019-01-23,39.539825030126735,39.737163019673396,39.32454317941619,39.45012283325195,195100,0.0,0.0,0.0
2019-01-24,39.61158769085119,39.77304824106603,39.5757068081836,39.73716735839844,253350,0.0,0.0,0.0
2019-01-25,40.06009308169768,40.221553650544806,40.06009308169768,40.09597396850586,150100,0.0,0.0,0.0
2019-01-28,39.737163869627345,39.86274352614918,39.68334597214027,39.80892562866211,195050,0.0,0.0,0.0
2019-01-29,40.00627120865531,40.1139138676193,39.88069152832031,39.88069152832031,318050,0.0,0.0,0.0
2019-01-30,39.88068482863076,40.5265269867589,39.88068482863076,40.34712600708008,230850,0.0,0.0,0.0
2019-01-31,40.25743119265238,40.49065009394969,40.25743119265238,40.38301086425781,197900,0.0,0.0,0.0
2019-02-01,40.11391083818209,40.36507017988432,40.11391083818209,40.2394905090332,439900,0.0,0.0,0.0
2019-02-04,40.149788620004614,40.40095138549805,40.149788620004614,40.40095138549805,199500,0.0,0.0,0.0
2019-02-05,40.50858688354492,40.59828566323587,40.45476556265689,40.50858688354492,136600,0.0,0.0,0.0
2019-02-06,40.239486450604346,40.354301160434254,40.11749282734465,40.185665130615234,175650,0.0,0.0,0.0
2019-02-07,39.701286308916835,39.83045543290384,39.46806741613605,39.61158752441406,172650,0.0,0.0,0.0
2019-02-08,38.965744757369905,39.30660629272461,38.965744757369905,39.30660629272461,192000,0.0,0.0,0.0
2019-02-11,39.23484770990667,39.324546492549736,39.1810263872473,39.252784729003906,204900,0.0,0.0,0.0
2019-02-12,39.97039024017192,40.06008902632227,39.934509356996045,39.952449798583984,158300,0.0,0.0,0.0
2019-02-13,40.1497881367251,40.26639929709379,40.095970233316,40.11391067504883,152900,0.0,0.0,0.0
2019-02-14,39.98832687753604,40.16772443277004,39.88427369494066,40.042144775390625,243050,0.0,0.0,0.0
2019-02-15,40.221550473388405,40.634170373719996,40.221550473388405,40.598289489746094,355750,0.0,0.0,0.0
2019-02-19,40.41888843737138,40.79562742132896,40.41888843737138,40.670047760009766,384150,0.0,0.0,0.0
2019-02-20,40.670051653785585,40.89430204812234,40.670051653785585,40.687992095947266,414450,0.0,0.0,0.0
2019-02-21,40.6341667175293,40.72386891939281,40.56240837782761,40.6341667175293,239450,0.0,0.0,0.0
2019-02-22,40.68799209842679,40.8584211662889,40.68799209842679,40.77769088745117,178200,0.0,0.0,0.0
