,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-16,23.770000457763672,23.87299919128418,23.020000457763672,23.719999313354492,2224500,0.0,0.0,0.0
2024-01-17,23.520000457763672,23.579999923706055,23.079999923706055,23.399999618530273,1956000,0.0,0.0,0.0
2024-01-18,23.399999618530273,23.399999618530273,22.229999542236328,22.34000015258789,2856900,0.0,0.0,0.0
2024-01-19,22.530000686645508,23.049999237060547,22.010000228881836,22.729999542236328,4603700,0.0,0.0,0.0
2024-01-22,22.270000457763672,22.329999923706055,21.520000457763672,21.969999313354492,2280000,0.0,0.0,0.0
2024-01-23,21.25,21.638999938964844,21.049999237060547,21.389999389648438,2329200,0.0,0.0,0.0
2024-01-24,21.850000381469727,21.947999954223633,21.566999435424805,21.600000381469727,1671000,0.0,0.0,0.0
2024-01-25,21.860000610351562,21.889999389648438,21.56999969482422,21.729999542236328,1260100,0.0,0.0,0.0
2024-01-26,22.469999313354492,23.040000915527344,22.420000076293945,22.90999984741211,2831900,0.0,0.0,0.0
2024-01-29,22.899999618530273,23.649999618530273,22.790000915527344,23.56999969482422,2239700,0.0,0.0,0.0
2024-01-30,23.729999542236328,23.8700008392334,23.594999313354492,23.780000686645508,1684500,0.0,0.0,0.0
2024-01-31,23.31999969482422,23.864999771118164,23.16900062561035,23.219999313354492,1264400,0.0,0.0,0.0
2024-02-01,23.030000686645508,23.600000381469727,23.030000686645508,23.450000762939453,1315200,0.0,0.0,0.0
2024-02-02,23.299999237060547,23.709999084472656,23.280000686645508,23.40999984741211,1729800,0.0,0.0,0.0
2024-02-05,23.6200008392334,23.68000030517578,23.059999465942383,23.1200008392334,1001200,0.0,0.0,0.0
2024-02-06,23.3700008392334,23.66699981689453,23.3700008392334,23.520000457763672,880900,0.0,0.0,0.0
2024-02-07,23.530000686645508,24.158000946044922,23.399999618530273,24.100000381469727,1912700,0.0,0.0,0.0
2024-02-08,24.610000610351562,24.889999389648438,24.489999771118164,24.850000381469727,1988300,0.0,0.0,0.0
2024-02-09,25.65999984741211,26.299999237060547,25.540000915527344,25.950000762939453,2059000,0.0,0.0,0.0
2024-02-12,26.270000457763672,27.51300048828125,26.270000457763672,27.399999618530273,3209900,0.0,0.0,0.0
2024-02-13,26.729999542236328,27.024999618530273,26.399999618530273,26.989999771118164,3684900,0.0,0.0,0.0
2024-02-14,28.229999542236328,28.459999084472656,27.989999771118164,28.260000228881836,3330800,0.0,0.0,0.0
2024-02-15,28.65999984741211,28.8700008392334,28.170000076293945,28.229999542236328,4990700,0.0,0.0,0.0
2024-02-16,28.579999923706055,28.638999938964844,28.18199920654297,28.34000015258789,1712900,0.0,0.0,0.0
2024-02-20,28.559999465942383,28.59000015258789,27.690000534057617,28.3700008392334,6324300,0.0,0.0,0.0
2024-02-21,27.780000686645508,28.059999465942383,27.645000457763672,27.81999969482422,1196200,0.0,0.0,0.0
2024-02-22,27.889999389648438,28.43000030517578,27.844999313354492,28.420000076293945,1096300,0.0,0.0,0.0
