,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-16,43.02000045776367,43.4900016784668,42.207000732421875,43.41999816894531,862100,0.0,0.0,0.0
2024-01-17,42.720001220703125,42.90999984741211,42.290000915527344,42.810001373291016,908800,0.0,0.0,0.0
2024-01-18,42.68000030517578,42.82600021362305,40.650001525878906,40.849998474121094,1648900,0.0,0.0,0.0
2024-01-19,41.18000030517578,42.0880012512207,40.29999923706055,41.564998626708984,1742400,0.0,0.0,0.0
2024-01-22,40.68000030517578,40.81999969482422,39.38999938964844,40.20000076293945,211000,0.0,0.0,0.0
2024-01-23,38.84000015258789,39.59000015258789,38.560001373291016,39.16999816894531,123900,0.0,0.0,0.0
2024-01-24,40.0,40.189998626708984,39.5099983215332,39.560001373291016,56900,0.0,0.0,0.0
2024-01-25,40.040000915527344,40.060001373291016,39.52000045776367,39.779998779296875,152800,0.0,0.0,0.0
2024-01-26,41.189998626708984,42.189998626708984,41.11000061035156,41.97999954223633,289100,0.0,0.0,0.0
2024-01-29,42.02000045776367,43.310001373291016,41.79999923706055,43.150001525878906,332300,0.0,0.0,0.0
2024-01-30,43.439998626708984,43.7400016784668,43.2400016784668,43.56999969482422,923300,0.0,0.0,0.0
2024-01-31,42.689998626708984,43.7400016784668,42.4900016784668,42.4900016784668,316500,0.0,0.0,0.0
2024-02-01,42.380001068115234,43.2599983215332,42.34000015258789,43.02000045776367,328800,0.0,0.0,0.0
2024-02-02,42.720001220703125,43.459999084472656,42.66999816894531,42.95000076293945,552800,0.0,0.0,0.0
2024-02-05,43.439998626708984,43.439998626708984,42.279998779296875,42.38999938964844,273400,0.0,0.0,0.0
2024-02-06,42.970001220703125,43.38999938964844,42.84000015258789,43.130001068115234,368300,0.0,0.0,0.0
2024-02-07,43.18000030517578,44.279998779296875,42.91999816894531,44.18000030517578,495400,0.0,0.0,0.0
2024-02-08,45.130001068115234,45.62099838256836,44.999000549316406,45.59000015258789,392100,0.0,0.0,0.0
2024-02-09,47.029998779296875,48.27000045776367,46.85900115966797,47.59000015258789,827000,0.0,0.0,0.0
2024-02-12,48.27000045776367,50.41999816894531,48.18899917602539,50.27000045776367,661000,0.0,0.0,0.0
2024-02-13,49.130001068115234,49.529998779296875,48.43000030517578,49.4900016784668,152600,0.0,0.0,0.0
2024-02-14,51.869998931884766,52.150001525878906,51.33100128173828,51.790000915527344,1078200,0.0,0.0,0.0
2024-02-15,52.560001373291016,52.900001525878906,51.7400016784668,51.83000183105469,170500,0.0,0.0,0.0
2024-02-16,52.33000183105469,52.49800109863281,51.63999938964844,51.95000076293945,218700,0.0,0.0,0.0
2024-02-20,52.36000061035156,52.400001525878906,50.790000915527344,52.0099983215332,595300,0.0,0.0,0.0
2024-02-21,50.970001220703125,51.459999084472656,50.70000076293945,51.0,647000,0.0,0.0,0.0
2024-02-22,51.15999984741211,52.13999938964844,51.04999923706055,52.040000915527344,253900,0.0,0.0,0.0
2024-02-23,51.2599983215332,51.349998474121094,50.63999938964844,51.130001068115234,397700,0.0,0.0,0.0
2024-02-26,51.459999084472656,55.0,51.439998626708984,54.52000045776367,1105600,0.0,0.0,0.0
2024-02-27,56.97999954223633,57.68000030517578,56.310001373291016,57.099998474121094,743900,0.0,0.0,0.0
2024-02-28,60.279998779296875,64.41000366210938,59.11000061035156,60.400001525878906,2691900,0.0,0.0,0.0
2024-02-29,63.439998626708984,63.64699935913086,60.43000030517578,62.06999969482422,772900,0.0,0.0,0.0
2024-03-01,62.540000915527344,63.290000915527344,61.25,63.09000015258789,367300,0.0,0.0,0.0
2024-03-04,65.5199966430664,68.04000091552734,65.47000122070312,67.75,763600,0.0,0.0,0.0
2024-03-05,67.77999877929688,69.43000030517578,59.68000030517578,61.970001220703125,1956900,0.0,0.0,0.0
2024-03-06,67.0,67.61000061035156,65.4000015258789,67.08999633789062,527200,0.0,0.0,0.0
2024-03-07,67.44999694824219,68.16999816894531,66.68000030517578,67.79000091552734,483400,0.0,0.0,0.0
2024-03-08,68.16999816894531,70.38999938964844,66.18000030517578,69.37999725341797,1692600,0.0,0.0,0.0
2024-03-11,72.44000244140625,72.95999908447266,71.38999938964844,72.1500015258789,893200,0.0,0.0,0.0
2024-03-12,72.44999694824219,73.2300033569336,68.75,71.44000244140625,2106600,0.0,0.0,0.0
2024-03-13,72.81999969482422,73.61000061035156,71.75,73.61000061035156,1023600,0.0,0.0,0.0
2024-03-14,72.66999816894531,72.76799774169922,68.47000122070312,69.33999633789062,1500200,0.0,0.0,0.0
2024-03-15,67.88999938964844,70.54000091552734,67.43000030517578,69.13999938964844,907900,0.0,0.0,0.0
2024-03-18,67.94999694824219,68.55500030517578,66.52999877929688,66.91000366210938,516700,0.0,0.0,0.0
2024-03-19,63.810001373291016,65.80000305175781,62.25,64.37000274658203,520600,0.0,0.0,0.0
2024-03-20,63.47999954223633,66.0999984741211,62.09000015258789,65.93000030517578,1023900,0.0,0.0,0.0
2024-03-21,67.73999786376953,67.73999786376953,64.98999786376953,65.30000305175781,630300,0.0,0.0,0.0
2024-03-22,64.30000305175781,64.37999725341797,62.709999084472656,63.97999954223633,711500,0.0,0.0,0.0
2024-03-25,67.11000061035156,71.25,67.11000061035156,71.16999816894531,1028800,0.0,0.0,0.0
2024-03-26,71.01000213623047,71.08000183105469,69.41000366210938,69.56999969482422,607000,0.0,0.0,0.0
2024-03-27,71.75,71.91000366210938,68.48999786376953,68.70999908447266,595900,0.0,0.0,0.0
