,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,46.01462418771448,46.93234705863287,46.00544849937266,46.840576171875,12513000,0.0,0.0,0.0
2019-01-03,46.87729025822766,46.95988196344,46.289944625869644,46.574440002441406,10740200,0.0,0.0,0.0
2019-01-04,47.189307961920676,48.22633577793475,47.115891953273035,48.15291976928711,18702400,0.0,0.0,0.0
2019-01-07,48.14373997243461,48.62095627554223,48.05196908757481,48.272220611572266,8639900,0.0,0.0,0.0
2019-01-08,48.657670297560735,48.657670297560735,48.2997589140465,48.50165557861328,7369700,0.0,0.0,0.0
2019-01-09,48.74025737023684,48.91462343800869,48.54753642677829,48.76778793334961,14208800,0.0,0.0,0.0
2019-01-10,48.59342151394332,49.0706377758407,48.52918119992199,49.061458587646484,8570400,0.0,0.0,0.0
2019-01-11,48.547542050430884,48.6026031830346,48.40070652876267,48.49247741699219,8089000,0.0,0.0,0.0
2019-01-14,48.226337030441044,48.54754214151697,48.18962727474637,48.318111419677734,8501000,0.0,0.0,0.0
2019-01-15,48.87791866152166,49.088998002985555,48.749438019472294,48.905452728271484,10353200,0.0,0.0,0.0
2019-01-16,49.04310815326828,49.245008301809854,48.96051295621353,49.14405822753906,15809600,0.0,0.0,0.0
2019-01-17,48.6576641763707,49.21747565486196,48.6576641763707,49.04310607910156,7931700,0.0,0.0,0.0
2019-01-18,49.62126739135052,49.75892720024193,49.44690133414453,49.69468688964844,9174400,0.0,0.0,0.0
2019-01-22,49.12570601112206,49.14406088933226,48.620959113264334,48.80450439453125,14400900,0.0,0.0,0.0
2019-01-23,48.969693646402874,49.03393396821086,48.501653015133236,48.66684341430664,6704900,0.0,0.0,0.0
2019-01-24,48.90545046563555,49.052285978446406,48.82285527087728,48.95133590698242,5971900,0.0,0.0,0.0
2019-01-25,49.46526449842858,49.62127570720547,49.30924978881674,49.48361587524414,7068300,0.0,0.0,0.0
2019-01-28,49.07064839594771,49.17159848292491,48.960519118789676,49.125709533691406,4877600,0.0,0.0,0.0
2019-01-29,49.3918442392002,49.49279431433043,49.171592712402344,49.171592712402344,9632700,0.0,0.0,0.0
2019-01-30,49.355130855724965,49.96082776113886,49.27253566403968,49.72222137451172,7910900,0.0,0.0,0.0
2019-01-31,49.740571735341355,49.92411697807344,49.65797655115364,49.813987731933594,9164300,0.0,0.0,0.0
2019-02-01,49.676342833128075,49.74975884657949,49.446912102235345,49.61210250854492,8884600,0.0,0.0,0.0
2019-02-04,49.55703099114114,49.804816566197005,49.50196636307274,49.72222137451172,6078800,0.0,0.0,0.0
2019-02-05,49.95164860369668,50.043419476601265,49.8415228560443,49.92411804199219,10136700,0.0,0.0,0.0
2019-02-06,49.657982055705574,49.73139806043592,49.43772703984509,49.511146545410156,4701600,0.0,0.0,0.0
2019-02-07,49.0431084292383,49.10734874943849,48.65766650803713,48.82285690307617,9382200,0.0,0.0,0.0
2019-02-08,48.18044563593348,48.4374068923914,48.116205321819,48.39152145385742,10256200,0.0,0.0,0.0
2019-02-11,48.43740463256836,48.492469256740854,48.3089240103336,48.43740463256836,5113800,0.0,0.0,0.0
2019-02-12,49.245015734533716,49.36432070402766,49.2083059745609,49.29090118408203,11083600,0.0,0.0,0.0
2019-02-13,49.56620176174085,49.6396212585488,49.3918357080734,49.41019058227539,6943600,0.0,0.0,0.0
2019-02-14,49.364309877622425,49.50196619607709,49.15323405532423,49.37348556518555,9840800,0.0,0.0,0.0
