,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,20.079804616573995,20.180740356445312,20.03514381000826,20.180740356445312,29000,0.0,0.0,0.0
2019-01-03,20.169131641903093,20.204861656685804,19.97262167170081,20.09856605529785,10500,0.0,0.0,0.0
2019-01-04,20.356709730148243,20.754196753124592,20.34777722692733,20.74169158935547,11900,0.0,0.0,0.0
2019-01-07,20.80332330450406,20.883712420818014,20.758660791328897,20.849769592285156,15100,0.0,0.0,0.0
2019-01-08,20.99983415042709,20.99983415042709,20.865850012566753,20.915870666503906,30700,0.0,0.0,0.0
2019-01-09,21.05342678790426,21.078437114068684,20.98196846976295,21.012338638305664,13900,0.0,0.0,0.0
2019-01-10,21.05342777988042,21.155256271362305,21.05342777988042,21.155256271362305,8800,0.0,0.0,0.0
2019-01-11,20.88371144968151,20.919441458560122,20.81225313562488,20.87299346923828,94000,0.0,0.0,0.0
2019-01-14,20.865848381070723,20.910509188965236,20.824758529663086,20.824758529663086,12600,0.0,0.0,0.0
2019-01-15,21.142752721322474,21.15257796442835,21.06236189052764,21.08022689819336,4700,0.0,0.0,0.0
2019-01-16,21.178478730196748,21.178478730196748,21.124885416727743,21.16865348815918,2600,0.0,0.0,0.0
2019-01-17,21.035561558449174,21.141857147216797,21.026630759514717,21.141857147216797,4000,0.0,0.0,0.0
2019-01-18,21.374993052494013,21.446451380601395,21.374993052494013,21.441091537475586,1900,0.0,0.0,0.0
2019-01-22,21.160612764260197,21.160612764260197,21.008763642130408,21.06235694885254,31400,0.0,0.0,0.0
2019-01-23,20.98196944743436,20.99268913269043,20.94624113854926,20.99268913269043,3200,0.0,0.0,0.0
2019-01-24,21.103445887561218,21.125776290893555,21.062357740985654,21.125776290893555,21900,0.0,0.0,0.0
2019-01-25,21.33926073380548,21.370523642497474,21.27673491642149,21.285667419433594,218800,0.0,0.0,0.0
2019-01-28,21.107024704393464,21.16061973246497,21.084694294547532,21.158832550048828,30500,0.0,0.0,0.0
2019-01-29,21.28566760993171,21.28566760993171,21.2008113861084,21.2008113861084,14800,0.0,0.0,0.0
2019-01-30,21.258866340732364,21.482173767436276,21.258866340732364,21.44644546508789,24200,0.0,0.0,0.0
2019-01-31,21.43751408999434,21.500039900164737,21.41071658404965,21.4625244140625,30000,0.0,0.0,0.0
2019-02-01,21.374989974216053,21.392854979595334,21.303531656399603,21.384815216064453,102100,0.0,0.0,0.0
2019-02-04,21.40178295752683,21.45180530673531,21.357122153666232,21.44644546508789,4800,0.0,0.0,0.0
2019-02-05,21.535771342102638,21.580432151283755,21.50897383437357,21.553634643554688,384700,0.0,0.0,0.0
2019-02-06,21.42858484861668,21.42858484861668,21.325863615749316,21.34908676147461,153100,0.0,0.0,0.0
2019-02-07,21.19634101177499,21.19634101177499,20.990898583463256,21.023948669433594,51100,0.0,0.0,0.0
2019-02-08,20.785458110880253,20.856916427612305,20.75866060321799,20.856916427612305,4800,0.0,0.0,0.0
2019-02-11,20.865850152069605,20.870315551757812,20.821187636683725,20.870315551757812,1500,0.0,0.0,0.0
2019-02-12,21.232073998159205,21.258869803359858,21.19634398629068,21.205276489257812,36400,0.0,0.0,0.0
2019-02-13,21.348193732742306,21.357126235961914,21.30353292034504,21.357126235961914,74200,0.0,0.0,0.0
2019-02-14,21.285667030232275,21.348192846473005,21.258869521685945,21.294599533081055,1600,0.0,0.0,0.0
2019-02-15,21.46431488364445,21.598299026489258,21.46431488364445,21.598299026489258,2300,0.0,0.0,0.0
2019-02-19,21.56256764792592,21.62956056695729,21.56256764792592,21.626880645751953,1211900,0.0,0.0,0.0
2019-02-20,21.669754316832847,21.714415123630417,21.661714553833008,21.661714553833008,2102200,0.0,0.0,0.0
2019-02-21,21.62509243383958,21.65992970414919,21.571499123387238,21.608121871948242,203800,0.0,0.0,0.0
2019-02-22,21.687621234277138,21.696553737164777,21.64027879860258,21.663503646850586,2800,0.0,0.0,0.0
