,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-01-16,37.84000015258789,38.42900085449219,37.0369987487793,38.31999969482422,26319600,0.0,0.0,0.0
2024-01-17,37.65999984741211,38.099998474121094,37.41999816894531,37.939998626708984,36857000,0.0,0.0,0.0
2024-01-18,37.75,38.04999923706055,36.04999923706055,36.290000915527344,29214600,0.0,0.0,0.0
2024-01-19,36.45000076293945,37.494998931884766,35.79999923706055,37.0099983215332,37256700,0.0,0.0,0.0
2024-01-22,36.13999938964844,36.319000244140625,35.029998779296875,35.81999969482422,30142100,0.0,0.0,0.0
2024-01-23,34.52000045776367,35.275001525878906,34.310001373291016,34.880001068115234,21880800,0.0,0.0,0.0
2024-01-24,35.619998931884766,35.81999969482422,35.220001220703125,35.27000045776367,17304000,0.0,0.0,0.0
2024-01-25,35.619998931884766,35.7400016784668,35.23500061035156,35.439998626708984,14150300,0.0,0.0,0.0
2024-01-26,36.689998626708984,37.709999084472656,36.65999984741211,37.5099983215332,17605600,0.0,0.0,0.0
2024-01-29,37.45000076293945,38.66999816894531,37.314998626708984,38.5099983215332,14965600,0.0,0.0,0.0
2024-01-30,38.7400016784668,39.04499816894531,38.59000015258789,38.869998931884766,10234200,0.0,0.0,0.0
2024-01-31,38.11000061035156,39.07500076293945,37.91999816894531,37.9900016784668,13012200,0.0,0.0,0.0
2024-02-01,37.84000015258789,38.630001068115234,37.79999923706055,38.40999984741211,7627100,0.0,0.0,0.0
2024-02-02,38.150001525878906,38.79499816894531,38.11000061035156,38.34000015258789,9815500,0.0,0.0,0.0
2024-02-05,38.68000030517578,38.75,37.72999954223633,37.84000015258789,6390200,0.0,0.0,0.0
2024-02-06,38.290000915527344,38.73500061035156,38.244998931884766,38.470001220703125,6779800,0.0,0.0,0.0
2024-02-07,38.4900016784668,39.529998779296875,38.29499816894531,39.43000030517578,8556100,0.0,0.0,0.0
2024-02-08,40.27000045776367,40.7400016784668,40.06999969482422,40.68000030517578,9198500,0.0,0.0,0.0
2024-02-09,41.95000076293945,43.09000015258789,41.790000915527344,42.47999954223633,12500900,0.0,0.0,0.0
2024-02-12,43.0,45.029998779296875,43.0,44.86000061035156,10582800,0.0,0.0,0.0
2024-02-13,43.720001220703125,44.209999084472656,43.18000030517578,44.11000061035156,9064900,0.0,0.0,0.0
2024-02-14,46.20000076293945,46.56999969482422,45.73899841308594,46.189998626708984,13449100,0.0,0.0,0.0
2024-02-15,46.84000015258789,47.2599983215332,46.095001220703125,46.18000030517578,13599300,0.0,0.0,0.0
2024-02-16,46.63999938964844,46.86000061035156,46.11000061035156,46.279998779296875,12639200,0.0,0.0,0.0
2024-02-20,46.689998626708984,46.7599983215332,45.31999969482422,46.40999984741211,13357300,0.0,0.0,0.0
2024-02-21,45.40999984741211,45.900001525878906,45.13999938964844,45.47999954223633,7507400,0.0,0.0,0.0
2024-02-22,45.59000015258789,46.5,45.529998779296875,46.439998626708984,7514400,0.0,0.0,0.0
2024-02-23,45.72999954223633,45.810001373291016,45.189998626708984,45.59000015258789,6990600,0.0,0.0,0.0
2024-02-26,45.869998931884766,49.060001373291016,45.85900115966797,48.630001068115234,17388500,0.0,0.0,0.0
2024-02-27,50.83000183105469,51.45000076293945,50.209999084472656,50.849998474121094,15744200,0.0,0.0,0.0
2024-02-28,53.7400016784668,57.45000076293945,52.70000076293945,53.83000183105469,34296500,0.0,0.0,0.0
2024-02-29,56.529998779296875,56.810001373291016,53.87200164794922,55.349998474121094,24756600,0.0,0.0,0.0
2024-03-01,55.72999954223633,56.494998931884766,54.61000061035156,56.279998779296875,18888100,0.0,0.0,0.0
2024-03-04,58.45000076293945,60.70000076293945,58.38999938964844,60.380001068115234,30081000,0.0,0.0,0.0
2024-03-05,60.40999984741211,61.9900016784668,53.349998474121094,55.22999954223633,53482300,0.0,0.0,0.0
2024-03-06,59.63999938964844,60.349998474121094,58.29999923706055,59.79999923706055,19180600,0.0,0.0,0.0
2024-03-07,60.16999816894531,60.86000061035156,59.5,60.45000076293945,24764800,0.0,0.0,0.0
2024-03-08,60.83000183105469,62.84000015258789,59.06999969482422,61.900001525878906,24418700,0.0,0.0,0.0
2024-03-11,64.58000183105469,65.08999633789062,63.70000076293945,64.31999969482422,28668800,0.0,0.0,0.0
2024-03-12,64.54000091552734,65.33999633789062,61.27000045776367,63.66999816894531,28619600,0.0,0.0,0.0
2024-03-13,64.88999938964844,65.61000061035156,63.97999954223633,65.58000183105469,19699200,0.0,0.0,0.0
2024-03-14,64.83000183105469,64.9000015258789,60.97999954223633,61.79999923706055,31760400,0.0,0.0,0.0
2024-03-15,60.41999816894531,63.02000045776367,60.099998474121094,61.599998474121094,21554800,0.0,0.0,0.0
2024-03-18,60.59000015258789,61.1349983215332,59.310001373291016,59.58000183105469,17837300,0.0,0.0,0.0
2024-03-19,56.810001373291016,58.65999984741211,55.4900016784668,57.40999984741211,25915500,0.0,0.0,0.0
2024-03-20,56.52000045776367,58.900001525878906,55.349998474121094,58.75,21844400,0.0,0.0,0.0
2024-03-21,60.319000244140625,60.33000183105469,57.84000015258789,58.11000061035156,19718100,0.0,0.0,0.0
2024-03-22,57.22999954223633,57.369998931884766,55.84000015258789,56.97999954223633,11602600,0.0,0.0,0.0
2024-03-25,59.720001220703125,63.45000076293945,59.720001220703125,63.34000015258789,24626200,0.0,0.0,0.0
2024-03-26,63.15999984741211,63.29999923706055,61.790000915527344,61.93000030517578,12545900,0.0,0.0,0.0
2024-03-27,63.849998474121094,64.01000213623047,60.959999084472656,61.189998626708984,16148900,0.0,0.0,0.0
