,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,12.600000381469727,13.039999961853027,12.579999923706055,12.595999717712402,241500,0.0,0.0,0.0
2019-01-03,12.65999984741211,12.710000038146973,12.649999618530273,12.706000328063965,65200,0.0,0.0,0.0
2019-01-04,12.600000381469727,12.619999885559082,12.5600004196167,12.614999771118164,116900,0.0,0.0,0.0
2019-01-07,12.680000305175781,12.6899995803833,12.642000198364258,12.654999732971191,46700,0.0,0.0,0.0
2019-01-08,12.61299991607666,12.630000114440918,12.609999656677246,12.619000434875488,11100,0.0,0.0,0.0
2019-01-09,12.654000282287598,12.710000038146973,12.649999618530273,12.710000038146973,34800,0.0,0.0,0.0
2019-01-10,12.670000076293945,12.680000305175781,12.619999885559082,12.630000114440918,205300,0.0,0.0,0.0
2019-01-11,12.640000343322754,12.670000076293945,12.640000343322754,12.640000343322754,17500,0.0,0.0,0.0
2019-01-14,12.699000358581543,12.699000358581543,12.65999984741211,12.680000305175781,26400,0.0,0.0,0.0
2019-01-15,12.6899995803833,12.704000473022461,12.633000373840332,12.656000137329102,12300,0.0,0.0,0.0
2019-01-16,12.670000076293945,12.710000038146973,12.670000076293945,12.690999984741211,26500,0.0,0.0,0.0
2019-01-17,12.670000076293945,12.692999839782715,12.664999961853027,12.678999900817871,5200,0.0,0.0,0.0
2019-01-18,12.59000015258789,12.600000381469727,12.569999694824219,12.569999694824219,50400,0.0,0.0,0.0
2019-01-22,12.579999923706055,12.619000434875488,12.5600004196167,12.600000381469727,69600,0.0,0.0,0.0
2019-01-23,12.559000015258789,12.62600040435791,12.553999900817871,12.597000122070312,11300,0.0,0.0,0.0
2019-01-24,12.59000015258789,12.600000381469727,12.5600004196167,12.571000099182129,12400,0.0,0.0,0.0
2019-01-25,12.6899995803833,12.760000228881836,12.6899995803833,12.75100040435791,31600,0.0,0.0,0.0
2019-01-28,12.760000228881836,12.800000190734863,12.760000228881836,12.800000190734863,32200,0.0,0.0,0.0
2019-01-29,12.869999885559082,12.880000114440918,12.829999923706055,12.880000114440918,74400,0.0,0.0,0.0
2019-01-30,12.876999855041504,12.979999542236328,12.850000381469727,12.930000305175781,46900,0.0,0.0,0.0
2019-01-31,13.0,13.0,12.9399995803833,12.9399995803833,32000,0.0,0.0,0.0
2019-02-01,13.029999732971191,13.029999732971191,12.90999984741211,12.930000305175781,223100,0.0,0.0,0.0
2019-02-04,12.859999656677246,12.90999984741211,12.859999656677246,12.869999885559082,29000,0.0,0.0,0.0
2019-02-05,12.890000343322754,12.90999984741211,12.88599967956543,12.904999732971191,51300,0.0,0.0,0.0
2019-02-06,12.90999984741211,12.90999984741211,12.819999694824219,12.822999954223633,10800,0.0,0.0,0.0
2019-02-07,12.84000015258789,12.869999885559082,12.829999923706055,12.854000091552734,44300,0.0,0.0,0.0
2019-02-08,12.899999618530273,12.90999984741211,12.888999938964844,12.899999618530273,40600,0.0,0.0,0.0
2019-02-11,12.800000190734863,12.850000381469727,12.800000190734863,12.840999603271484,43100,0.0,0.0,0.0
2019-02-12,12.862000465393066,12.869999885559082,12.84000015258789,12.86400032043457,44600,0.0,0.0,0.0
2019-02-13,12.869999885559082,12.930000305175781,12.8100004196167,12.812999725341797,63900,0.0,0.0,0.0
2019-02-14,12.850000381469727,12.890000343322754,12.829999923706055,12.875,41400,0.0,0.0,0.0
2019-02-15,12.960000038146973,12.970000267028809,12.899999618530273,12.960000038146973,14500,0.0,0.0,0.0
2019-02-19,13.069999694824219,13.15999984741211,13.069999694824219,13.149999618530273,25100,0.0,0.0,0.0
2019-02-20,13.1899995803833,13.20199966430664,13.119999885559082,13.130000114440918,50400,0.0,0.0,0.0
2019-02-21,13.100000381469727,13.100000381469727,12.989999771118164,12.989999771118164,43800,0.0,0.0,0.0
2019-02-22,13.029999732971191,13.079999923706055,13.020000457763672,13.029999732971191,36100,0.0,0.0,0.0
2019-02-25,13.029999732971191,13.069999694824219,13.003000259399414,13.010000228881836,46900,0.0,0.0,0.0
2019-02-26,12.989999771118164,13.03499984741211,12.987000465393066,13.029999732971191,33900,0.0,0.0,0.0
