,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2019-01-02,14.979999542236328,15.170000076293945,14.960000038146973,15.079999923706055,130800,0.0,0.0,0.0
2019-01-03,15.199999809265137,15.3100004196167,15.15999984741211,15.279999732971191,156200,0.0,0.0,0.0
2019-01-04,15.260000228881836,15.3100004196167,15.149999618530273,15.25,212900,0.0,0.0,0.0
2019-01-07,15.279999732971191,15.289999961853027,15.1899995803833,15.199999809265137,101700,0.0,0.0,0.0
2019-01-08,15.170000076293945,15.239999771118164,15.170000076293945,15.210000038146973,54000,0.0,0.0,0.0
2019-01-09,15.220000267028809,15.319999694824219,15.1899995803833,15.300000190734863,66600,0.0,0.0,0.0
2019-01-10,15.210000038146973,15.229999542236328,15.109999656677246,15.119999885559082,51800,0.0,0.0,0.0
2019-01-11,15.130000114440918,15.220000267028809,15.119999885559082,15.149999618530273,57000,0.0,0.0,0.0
2019-01-14,15.199999809265137,15.220000267028809,15.149999618530273,15.210000038146973,64500,0.0,0.0,0.0
2019-01-15,15.229999542236328,15.25,15.119999885559082,15.119999885559082,62500,0.0,0.0,0.0
2019-01-16,15.170000076293945,15.199999809265137,15.140000343322754,15.149999618530273,44500,0.0,0.0,0.0
2019-01-17,15.079999923706055,15.109999656677246,15.029999732971191,15.100000381469727,104300,0.0,0.0,0.0
2019-01-18,14.970000267028809,15.010000228881836,14.880000114440918,14.880000114440918,158500,0.0,0.0,0.0
2019-01-22,14.850000381469727,14.90999984741211,14.800000190734863,14.90999984741211,69000,0.0,0.0,0.0
2019-01-23,14.880000114440918,14.9399995803833,14.850000381469727,14.9399995803833,95800,0.0,0.0,0.0
2019-01-24,14.920000076293945,14.930000305175781,14.850000381469727,14.880000114440918,53300,0.0,0.0,0.0
2019-01-25,15.100000381469727,15.289999961853027,15.100000381469727,15.270000457763672,147200,0.0,0.0,0.0
2019-01-28,15.170000076293945,15.319999694824219,15.170000076293945,15.3100004196167,79400,0.0,0.0,0.0
2019-01-29,15.40999984741211,15.4399995803833,15.369999885559082,15.399999618530273,63600,0.0,0.0,0.0
2019-01-30,15.449999809265137,15.649999618530273,15.420000076293945,15.609999656677246,118700,0.0,0.0,0.0
2019-01-31,15.699999809265137,15.739999771118164,15.569999694824219,15.59000015258789,140200,0.0,0.0,0.0
2019-02-01,15.579999923706055,15.600000381469727,15.449999809265137,15.460000038146973,68100,0.0,0.0,0.0
2019-02-04,15.369999885559082,15.460000038146973,15.359999656677246,15.420000076293945,44900,0.0,0.0,0.0
2019-02-05,15.449999809265137,15.460000038146973,15.369999885559082,15.40999984741211,221200,0.0,0.0,0.0
2019-02-06,15.359999656677246,15.369999885559082,15.199999809265137,15.220000267028809,180500,0.0,0.0,0.0
2019-02-07,15.229999542236328,15.300000190734863,15.220000267028809,15.300000190734863,36000,0.0,0.0,0.0
2019-02-08,15.329999923706055,15.399999618530273,15.300000190734863,15.369999885559082,23400,0.0,0.0,0.0
2019-02-11,15.220000267028809,15.329999923706055,15.220000267028809,15.25,68000,0.0,0.0,0.0
2019-02-12,15.279999732971191,15.289999961853027,15.229999542236328,15.270000457763672,36300,0.0,0.0,0.0
2019-02-13,15.300000190734863,15.359999656677246,15.100000381469727,15.119999885559082,113400,0.0,0.0,0.0
2019-02-14,15.09000015258789,15.1899995803833,15.079999923706055,15.1899995803833,66300,0.0,0.0,0.0
2019-02-15,15.220000267028809,15.350000381469727,15.15999984741211,15.350000381469727,179400,0.0,0.0,0.0
2019-02-19,15.390000343322754,15.550000190734863,15.390000343322754,15.529999732971191,142800,0.0,0.0,0.0
2019-02-20,15.609999656677246,15.739999771118164,15.579999923706055,15.579999923706055,74700,0.0,0.0,0.0
2019-02-21,15.479999542236328,15.489999771118164,15.359999656677246,15.369999885559082,87900,0.0,0.0,0.0
2019-02-22,15.470000267028809,15.510000228881836,15.449999809265137,15.479999542236328,50700,0.0,0.0,0.0
2019-02-25,15.479999542236328,15.520000457763672,15.40999984741211,15.449999809265137,59600,0.0,0.0,0.0
2019-02-26,15.40999984741211,15.479999542236328,15.369999885559082,15.479999542236328,54700,0.0,0.0,0.0
2019-02-27,15.40999984741211,15.40999984741211,15.260000228881836,15.279999732971191,87700,0.0,0.0,0.0
2019-02-28,15.289999961853027,15.289999961853027,15.149999618530273,15.149999618530273,116400,0.0,0.0,0.0
2019-03-01,15.020000457763672,15.069999694824219,14.710000038146973,14.710000038146973,170700,0.0,0.0,0.0
2019-03-04,14.649999618530273,14.6899995803833,14.609999656677246,14.609999656677246,120200,0.0,0.0,0.0
2019-03-05,14.640000343322754,14.75,14.619999885559082,14.75,28000,0.0,0.0,0.0
2019-03-06,14.6899995803833,14.6899995803833,14.619999885559082,14.649999618530273,57200,0.0,0.0,0.0
2019-03-07,14.600000381469727,14.640000343322754,14.569999694824219,14.579999923706055,64500,0.0,0.0,0.0
2019-03-08,14.800000190734863,14.930000305175781,14.800000190734863,14.90999984741211,114800,0.0,0.0,0.0
2019-03-11,14.869999885559082,14.880000114440918,14.789999961853027,14.880000114440918,63600,0.0,0.0,0.0
2019-03-12,14.989999771118164,15.029999732971191,14.930000305175781,15.0,90800,0.0,0.0,0.0
2019-03-13,15.050000190734863,15.0600004196167,15.0,15.029999732971191,107600,0.0,0.0,0.0
2019-03-14,14.75,14.779999732971191,14.710000038146973,14.770000457763672,67200,0.0,0.0,0.0
2019-03-15,14.90999984741211,14.960000038146973,14.850000381469727,14.850000381469727,71200,0.0,0.0,0.0
2019-03-18,14.930000305175781,14.989999771118164,14.890000343322754,14.90999984741211,60600,0.0,0.0,0.0
2019-03-19,14.970000267028809,15.0,14.920000076293945,14.930000305175781,60200,0.0,0.0,0.0
2019-03-20,14.970000267028809,15.100000381469727,14.84000015258789,15.069999694824219,84100,0.0,0.0,0.0
2019-03-21,15.069999694824219,15.079999923706055,14.949999809265137,15.020000457763672,79200,0.0,0.0,0.0
2019-03-22,14.960000038146973,15.0,14.9399995803833,14.979999542236328,83000,0.0,0.0,0.0
2019-03-25,15.069999694824219,15.130000114440918,15.050000190734863,15.079999923706055,331200,0.0,0.0,0.0
2019-03-26,15.0600004196167,15.0600004196167,14.960000038146973,15.0,51500,0.0,0.0,0.0
2019-03-27,14.9399995803833,14.9399995803833,14.829999923706055,14.829999923706055,46400,0.0,0.0,0.0
2019-03-28,14.710000038146973,14.710000038146973,14.5600004196167,14.59000015258789,144800,0.0,0.0,0.0
2019-03-29,14.729999542236328,14.760000228881836,14.680000305175781,14.680000305175781,33600,0.0,0.0,0.0
